CTDIvol	DLP	Tipo	EkV	EmA	skV	smA
3.74	259.76	OSEA		120	110	80	20
3.74	162.59	OSEA		120	110	80	20
3.74	164.46	Rastreo		120	110	80	20
3.06	112.07	Pulmonar	100	100	100	10
3.74	175.68	OSEA		120	110	80	20
3.74	284.06	OSEA		120	110	80	20
3.74	168.2	OSEA		120	110	80	20
2.46	80.6	Rastreo		100	120	80	10
2.46	140.45	Rastreo		100	120	80	10
3.71	307.96	Rastreo		120	110	80	20
3.74	156.99	OSEA		120	110	80	20
3.7	261.11	OSEA		120	110	80	20
3.74	244.82	OSEA		120	110	80	20
3.74	153.25	OSEA		120	110	80	20
3.74	162.59	OSEA		120	110	80	20
2.46	109.45	Rastreo		100	120	80	10
2.46	82.75	Rastreo		100	120	80	10
2.87	126.4	Rastreo		100	79	100	10
2.46	76.61	Rastreo		100	120	80	10
3.47	158.01	OSEA		120	109	80	20
3.74	170.07	OSEA		120	110	80	20
8.38	656.47	OSEA		120	79	120	10
3.74	151.38	OSEA		120	110	80	20
3.74	168.2	OSEA		120	110	80	20
3.74	270.98	OSEA		120	110	80	20
2.46	78.15	Paratiroides	100	120	80	10
2.46	85.82	Paratiroides	100	120	80	10
2.46	76.92	Paratiroides	100	120	80	10
2.46	105.15	Paratiroides	100	120	80	10
2.46	88.89	Paratiroides	100	120	80	10
2.46	105.15	Paratiroides	100	120	80	10
2.46	85.21	Paratiroides	100	120	80	10
8.56	670.52	OSEA		120	94	120	10
2.46	85.82	Paratiroides	100	120	80	10
7.97	349.40	OSEA		120	79	120	10
8.10	634.61	OSEA		120	79	120	10
3.74	284.6	OSEA		120	110	80	20
3.6	269.87	OSEA		120	109	80	20
2.46	46.84	OSEA		100	120	80	10
2.46	105.15	OSEA		100	120	80	10
2.46	76	Rastreo		100	120	80	10
3.74	295.27	OSEA		120	110	80	20
3.74	162.59	OSEA		120	110	80	20
3.74	142.4	OSEA		120	110	80	20
3.74	179.41	OSEA		120	110	80	20
3.46	289.66	OSEA		120	110	80	20
2.46	145.5	OSEA		100	120	80	10
2.06	113.44	Rastreo		100	120	80	10
3.74	89.11	Pulmonar	100	100	100	10
3.80	162.59	ROLL		120	110	80	20
14.08	1030.60	Rastreo		120	219	120	20
1.74	48.67	Rastreo		80	100	80	20
3.73	171.94	OSEA		220	110	80	20
8.74	373.86	OSEA		120	79	120	20
3.74	295.27	OSEA		120	110	80	20
3.74	162.59	OSEA		120	110	80	20
3.74	134.57	OSEA		120	110	80	20
2.46	114.67	Rastreo		100	200	80	10
3.74	170	OSEA		120	110	80	20
3.74	276.58	OSEA		120	110	80	20
3.74	289.66	HYNIC		120	110	80	20
3.74	242.95	OSEA		120	110	80	20
3.74	162.59	OSEA		120	110	80	20
3.73	275.83	OSEA		120	110	80	20
3.41	254.15	OSEA		120	110	80	20
3.74	179.41	OSEA		120	110	80	20
2.46	139.53	Rastreo		100	120	80	10
2.46	105.15	Rastreo		100	120	80	10
2.46	195.8	Rastreo		100	120	80	10
2.46	89.7	OSEA		100	119	80	10
2.46	106.57	OSEA		100	119	80	10
2.46	157.2	OSEA		100	120	80	10
2.46	100.12	OSEA		100	120	80	10
2.46	111.17	OSEA		100	100	80	10
2.46	114.85	OSEA		100	119	80	10
5.1	228.47	Rastreo		120	150	80	10
5.1	185.75	Centinela	120	150	80	10
5.1	248.85	Rastreo		120	150	80	10
5.1	166.04	Rastreo		120	150	80	10
5.44	168.55	OSEA		120	160	120	10
2.46	103.8	OSEA		100	120	80	10
2.46	106.57	OSEA		100	120	80	10
2.46	193.11	OSEA		100	120	80	10
2.32	152.31	OSEA		100	84	80	10
2.46	112.09	OSEA		100	120	80	10
2.46	106.57	OSEA		100	120	80	10
2.46	193.11	OSEA		100	120	80	10
2.46	162.73	OSEA		100	120	80	10
7.95	719.09	HYNIC		140	169	80	10
2.46	115.77	OSEA		100	120	80	10
5.1	188.97	ROLL		120	150	80	10
2.46	177.46	OSEA		100	120	80	10
2.46	112.09	OSEA		100	120	80	10
2.46	101.96	OSEA		100	120	80	10
2.46	114.85	OSEA		100	119	80	10
2.46	113.01	OSEA		100	120	80	10
5.44	252.26	OSEA		120	159	80	10
